Time,Open,High,Low,Close,Volume,Returns,Profitability
2023-02-24 22:00:00,5.067,5.112,5.067,5.096,17201.77,0.0061204343534055905,-5.978766995716144
2023-02-24 22:15:00,5.099,5.104,5.074,5.074,4009.88,-0.004317111459968603,-5.978766995716144
2023-02-24 22:30:00,5.073,5.078,5.01,5.053,28760.18,-0.004138746551044514,-5.978766995716144
2023-02-24 22:45:00,5.055,5.083,5.055,5.083,4702.17,0.005937067088858106,-5.978766995716144
2023-02-24 23:00:00,5.084,5.121,5.062,5.121,16045.74,0.007475900059020324,-5.978766995716144
2023-02-24 23:15:00,5.121,5.158,5.115,5.157,10459.92,0.007029876977152849,-5.978766995716144
2023-02-24 23:30:00,5.157,5.174,5.152,5.154,5563.01,-0.0005817335660267542,-5.978766995716144
2023-02-24 23:45:00,5.152,5.185,5.149,5.183,6524.94,0.00562669771051616,-5.978766995716144
2023-02-25 00:00:00,5.181,5.196,5.152,5.155,25968.14,-0.005402276673741047,-5.978766995716144
2023-02-25 00:15:00,5.158,5.177,5.138,5.174,5063.32,0.0036857419980602657,-5.978766995716144
2023-02-25 00:30:00,5.173,5.174,5.133,5.133,7299.61,-0.00792423656745267,-5.978766995716144
2023-02-25 00:45:00,5.133,5.164,5.131,5.158,2477.84,0.004870446132865913,-5.978766995716144
2023-02-25 01:00:00,5.159,5.173,5.15,5.173,869.72,0.0029081039162466293,-5.978766995716144
2023-02-25 01:15:00,5.173,5.173,5.152,5.153,1470.21,-0.003866228494104118,-5.978766995716144
2023-02-25 01:30:00,5.159,5.172,5.158,5.169,1173.54,0.0031049873859887445,-5.978766995716144
2023-02-25 01:45:00,5.167,5.172,5.158,5.159,1546.8,-0.001934610176049456,-5.978766995716144
2023-02-25 02:00:00,5.161,5.162,5.145,5.145,1533.26,-0.0027137042062416183,-5.978766995716144
2023-02-25 02:15:00,5.144,5.144,5.116,5.123,7901.15,-0.004275996112730662,-5.978766995716144
2023-02-25 02:30:00,5.123,5.13,5.093,5.116,9471.86,-0.001366386882686088,-5.978766995716144
2023-02-25 02:45:00,5.115,5.117,5.091,5.101,2982.7,-0.0029319781078966933,-5.978766995716144
2023-02-25 03:00:00,5.101,5.101,5.069,5.084,31173.37,-0.0033326798666928337,-5.978766995716144
2023-02-25 03:15:00,5.089,5.101,5.089,5.093,1695.56,0.001770259638080418,-5.978766995716144
2023-02-25 03:30:00,5.091,5.127,5.086,5.123,16121.09,0.005890437855880615,-5.978766995716144
2023-02-25 03:45:00,5.121,5.126,5.097,5.097,8097.42,-0.00507515127854774,-5.978766995716144
2023-02-25 04:00:00,5.097,5.097,5.067,5.094,13423.38,-0.0005885815185403542,-5.978766995716144
2023-02-25 04:15:00,5.095,5.107,5.076,5.096,5246.48,0.00039261876717699984,-5.978766995716144
2023-02-25 04:30:00,5.099,5.106,5.081,5.099,32411.54,0.0005886970172683803,-5.978766995716144
2023-02-25 04:45:00,5.099,5.099,5.078,5.081,3797.79,-0.003530103941949414,-5.978766995716144
2023-02-25 05:00:00,5.08,5.082,5.006,5.045,174605.17,-0.0070852194449911865,-5.978766995716144
